"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ZNF280D","OK",4.07173961855486e-28,10.9315616038075,0.0629273622033598,"ZNF280D",2.12392339464241e-27
"LRP6","OK",4.21062864084028e-28,10.9285179156497,0.0629216767542265,"LRP6",2.19573408809924e-27
"TP53","OK",4.22767491600065e-28,10.9281512352748,0.0629243717843641,"TP53",2.20398370294551e-27
"MX2","OK",4.3459066370579e-28,10.9256476170412,0.062867608298991,"MX2",2.26496352285181e-27
"PSME1","OK",4.35145881042917e-28,10.9255317138411,0.0628876533330049,"PSME1",2.26719961795918e-27
"H6PD","OK",4.77680347073464e-28,10.9170622586017,0.0627465434742271,"H6PD",2.48809154693048e-27
"MYCN","OK",4.83457134002616e-28,10.9159701114833,0.0623627069375242,"MYCN",2.51745137584092e-27
"ATP6V1F","OK",4.848543307692e-28,10.9157079044208,0.062840955564333,"ATP6V1F",2.52399545884198e-27
"LOC138526067","OK",4.93898965131218e-28,10.9140284441683,0.0622502441514701,"LOC138526067",2.57033431897133e-27
"IMMP1L","OK",4.99734660561249e-28,10.9129609520119,0.0626863133576802,"IMMP1L",2.59995131739596e-27
"TIMM10","OK",5.04692618635514e-28,10.9120636891265,0.062753113316869,"TIMM10",2.6249859209494e-27
"ANKS1A","OK",5.14002328268481e-28,10.9104022440169,0.0627898861449389,"ANKS1A",2.67263363396545e-27
"PPP1R18","OK",5.19409205279403e-28,10.9094509599273,0.0627947699933357,"PPP1R18",2.69996627679227e-27
"UBAP2","OK",5.80073509408456e-28,10.8994040012793,0.0627763572060304,"UBAP2",3.01443636901965e-27
"ABCE1","OK",5.88959030307896e-28,10.898020635065,0.0627690554864844,"ABCE1",3.05972644539835e-27
"LAGE3","OK",6.05682780186635e-28,10.895472198008,0.0625996520750163,"LAGE3",3.14569929478434e-27
"ZNF512B","OK",6.50342393360125e-28,10.8889944161832,0.0626728670147233,"ZNF512B",3.37666940441533e-27
"SEPTIN10","OK",6.68701538654832e-28,10.8864585598134,0.0626940914874943,"SEPTIN10",3.47018818785575e-27
"ZDHHC20","OK",6.68740216724789e-28,10.8864532906316,0.0626540204900425,"ZDHHC20",3.47018818785575e-27
"LOC138453526","OK",6.74921917379214e-28,10.8856150074005,0.0623490715148258,"LOC138453526",3.50125486585002e-27
"LIPG","OK",7.04255976824765e-28,10.8817381507416,0.0622483586692177,"LIPG",3.6523751525371e-27
"LRPPRC","OK",7.28887828236863e-28,10.8786045039626,0.0626377398205588,"LRPPRC",3.77902893058755e-27
"CRYBG1","OK",7.31678693265938e-28,10.8782560973569,0.0626543599577013,"CRYBG1",3.79240441822582e-27
"LOC138473791","OK",7.95290553773935e-28,10.8706531188598,0.0509181776297001,"LOC138473791",4.12092596635456e-27
"TMCO3","OK",8.3118156722592e-28,10.8666253673099,0.062531629914099,"TMCO3",4.30565948776298e-27
"CANX","OK",8.40861523017555e-28,10.8655685892851,0.0625846100339014,"CANX",4.35454800248572e-27
"PSENEN","OK",9.02247816310456e-28,10.8591353945554,0.0625328010195497,"PSENEN",4.67110148634368e-27
"LOC138581144","OK",9.20122720568361e-28,10.8573436213926,0.061805161121687,"LOC138581144",4.76227110847161e-27
"NEDD4","OK",9.44453141997239e-28,10.8549594446637,0.0624973514925078,"NEDD4",4.88679037192352e-27
"GSTT1","OK",9.58942894913741e-28,10.8535683434846,0.0625020777258513,"GSTT1",4.96033500909612e-27
"LAMB2","OK",9.71338339767329e-28,10.8523947532588,0.0623877413858324,"LAMB2",5.02300718435077e-27
"AACS","OK",1.02539274106308e-27,10.8474447311804,0.0623280674831552,"AACS",5.30100907851079e-27
"CREB3L1","OK",1.04770050936683e-27,10.8454769364598,0.0624089929319034,"CREB3L1",5.41477657558869e-27
"SMIM11","OK",1.08975556082484e-27,10.8418776831789,0.0622203942166121,"SMIM11",5.63050817366947e-27
"CHST6","OK",1.09208312596821e-27,10.8416825237632,0.0624298128923888,"CHST6",5.6409122660675e-27
"ZNF84","OK",1.09359775912462e-27,10.8415557477018,0.0624421386895492,"ZNF84",5.6471125665142e-27
"CNPY1","OK",1.09463990226999e-27,10.8414686205303,0.062385634730814,"CNPY1",5.65087016483531e-27
"SNX13","OK",1.1301671672245e-27,10.8385465794081,0.0623984408334222,"SNX13",5.83259735641132e-27
"UBA1","OK",1.15785302343444e-27,10.8363319527784,0.0623958546312339,"UBA1",5.97376366095807e-27
"SERF2","OK",1.16646132738247e-27,10.8356540569804,0.062395976927484,"SERF2",6.01644949858297e-27
"BTBD8","OK",1.17067187557786e-27,10.8353242850112,0.0623418258158484,"BTBD8",6.03643431969416e-27
